chi_name,eng_name,player_id
高國慶,KAO Kuo Ching,L0E0
周思齊,CHOU Szu Chi,G072
林智勝,LIN Chih Sheng (Ngayaw ‧ Ake'),A044
林益全,LIN Yi Chuan,R205
王勝偉,WANG Sheng Wei (Haro Ngayaw),R272
林泓育,LIN Hung Yu,R529
張正偉,CHANG Cheng Wei,R457
張志豪,CHANG Chih Hao,R244
潘武雄,PAN Wu Hsiung,L0G5
林智平,LIN Chih Ping,R407
陳鏞基,CHEN Yung Chi,L0K0
詹智堯,CHAN Chih Yao,z102
郭嚴文,KUO Yen Wen,R405
胡金龍,HU Chin Lung,R678
林宥穎,LIN Yu Ying,R398
余德龍,YU Te Lung,R625
陳子豪,CHEN Tzu Hao,E0J8
唐肇廷,TANG Chao Ting,R346
陳凱倫,CHEN Kai Lun,R498
陳俊秀,CHEN Chun Hsiu,R672
高國輝,KAO Kuo Hui,R400
鄧志偉,TENG Chih Wei,L0K5
方克偉,FANG Ko Wei,R253
藍寅倫,LAN Yin Lun,R595
林哲瑄,LIN Che Hsuan,R401
朱育賢,CHU Yu Hsien,H435
郭永維,KUO Yung Wei,R235
吳宗峻,WU Chung Chun,R286
黃恩賜,HUANG En Tzu,R349
蔣智賢,CHIANG Chih Hsien,R399
蘇智傑,SU Chih Chieh,H594
李宗賢,LEE Tsung Hsien,H593
黃鈞聲,HUANG Chun Sheng,R610
羅國龍,LO Guo Long,R613
詹子賢,CHAN Tzu Hsien,k453
林瑋恩,LIN Wei En,R176
林承飛,LIN Chen Fei,A0F2
陳傑憲,CHEN Chieh Hsien,H929
劉時豪,LIU Shih Hao,H372
王威晨,WANG Wei Chen,H038
高孝儀,KAO Hsiao Yi,B0I0
郭阜林,KUO Fu Lin,H407
林威廷,LIN Wei Ting,R441
許基宏,HSU Chi Hung,H230
葉竹軒,YEH Chu Hsuan,R109
高國麟,KAO Kuo Lin,H229
林立,LIN Li,k441
陳家駒,CHEN Chia Chu,E0J9
梁家榮,LIANG Chia Jung,A0D1
蘇緯達,SU Wei Ta,H017
陽耀勳,YANG Yao Hsun,SB29
林岱安,LIN Dai An,H727
吳東融,WU Tung Jung,H529
廖健富,LIAO Chien Fu,A0F7
陳品捷,CHEN Pin Chieh,H400
于森旭,YU Sen Shiu,H329
鄭鎧文,CHENG Kai Wen,H353
陳重羽,CHEN Chung Yu,k454
林旺衛,LIN Wang Wei,B0I7
范國宸,FAN Kuo Chen,k509
林書逸,LIN Shu Yi,H876
陳晨威,CHEN Chen Wei,004633
王正棠,WANG Cheng Tang,k462
申皓瑋,SHEN Hao Wei,B0J9
吳桀睿,WU Chieh Jui,H878
潘傑楷,PAN Chieh Kai,L0O6
張詠漢,CHANG Yung Han,R481
曾陶鎔,TSENG Tao Jung,H225
林祖傑,LIN Tzu Chieh,H456
楊家維,YANG Chia Wei,L0M3
林靖凱,LIN Ching Kai,004642
陳重廷,CHEN Chung Ting,k444
林安可,LIN An Ko,k429
岳東華,YUEH Tung Hua,k447
潘志芳,PAN Chih Fang,H240
郭峻偉,KUO Chun Wei,H218
陳偉漢,CHEN Wei Han,R317
江坤宇,CHIANG Kun Yu,004636
高宇杰,KAO Yu Chieh,k440
陳文杰,CHEN Wun Jie,E0M7
莊駿凱,CHUANG Chun Kai,H526
林明杰,LIN Ming Chieh,H086
嚴宏鈞,YEN Hung Chun,Z104
張志強,CHANG Chih Chiang,R665
戴培峰,DAI Pei Feng,004645
黃敬瑋,HUANG Ching Wei,A0G0
江亮緯,CHIANG Liang Wei,L0N5
石翔宇,SHIH Hsiang Yu,B0J3
辛元旭,HSIN Yuan Hsu,005496
楊岱均,YANG Tai Chun,k442
吳國豪,WU Kuo Hao,L0M4
成晉,CHENG Chin,A0F8
張進德,CHANG Chin Te,H019
楊晉豪,YANG Chin Hao,B0K3
蔡奕玄,TSAI Yi Hsuan,L0N6
張閔勛,CHANG Min Hsun,k437
張偉聖,CHANG Wei Sheng,004627
洪宸宇,HUNG Chen Yu,A0B6
馮健庭,FENG Chien Ting,H402
薛种帷,HSUEH Chung Wei,R517
邱丹,CHIU Tan,004634
吳明鴻,WU Ming Hung,k461
陳子鴻,CHEN Tzu Hong,E0M9
楊瑞承,YANG Ruei Cheng,005508
杜家明,TU Chia Ming,E0K8
柏納帝那,Roger Bernadina,005084
林焌翰,LIN Jun Han,k451
岳政華,YUEH Cheng Hua,005571
張冠廷,CHANG Kuan Ting,B0J8
赫雷拉,Rosell Herrera,006501
郭天信,KUO Tian Shin,005549
劉基鴻,LIU Ji Hong,005545
許禹壕,HSU Yu Hao,R694
紀品宏,CHI Ping Hung,H367
李凱威,LI Kai Wei,005540
張瑞麟,CHANG Jui Ling,H047
蔣少宏,JIANG Shao Hong,005291
洪瑋漢,HONG Wei Han,k449
馬傑森,MA Chieh Sen,006240
曾傳昇,TSENG Chuan Sheng,005544
姚雨翔,YAO Yu Hsiang,004640
朱祥麟,CHU Hsiang Lin,005546
陳真,CHEN Zhen,005310
施冠宇,SHIH Kuan Yu,k507
羅暐捷,LO Wei Chieh,005522
王詩聰,WANG Shih Tsung,k506
吳睿勝,WU Rui Sheng,B0J7
林子豪,LIN Tzu Hao,006223
姚冠瑋,YAO Kuan Wei,005563
柯育民,KO Yu Min,R708
黃稚峰,HUANG Chih Feng,H583
董子浩,TUNG Tzu Hao,A0E0
張煒謙,CHANG Wei Chien,A0D9
邱智呈,CHIU Chih Cheng,005531
林志洋,LIN Chih Yang,H947
林辰勳,LIN Chen Hsun,006217
牛塏曄,NIU Kai Ye,005534
全浩瑋,CHUAN Hao Wei,005532
林澤彬,LIN Ze Bin,005510
賴鴻誠,LAI Hung Cheng,R354
官大元,KUAN Ta Yuan,R139
林知譽,LIN Chih Yu,H534
許哲晏,HSU Che Yen,005306
艾銳克,Eric Wood,004771
陳琥,CHEN Hu,E0M6
莊韋恩,CHUANG Wei En,006229
張祐銘,CHANG Yu Ming,005553
王鏡銘,WANG Ching Ming,R455
陳禹勳,CHEN Yu Hsun,A0D4
傅于剛,FU Yu Kang,R463
潘威倫,PAN Wei Lun,L0C8
蔡明晋,TSAI Ming Chin,R107
陳鴻文,CHEN Hung Wen,R669
張耿豪,CHANG Keng Hao,H401
林羿豪,LIN Yi Hao,R670
林其緯,LIN Chi Wei,R269
鄭凱文,CHENG Kai Wen,R396
林晨樺,LIN Chen Hua,B0G4
林柏佑,LIN Po Yu,R394
陳韻文,CHEN Yun Wen,L0M7
江承峰,CHIANG Cheng Feng,R683
黃偉晟,HUANG Wei Cheng,R679
王躍霖,WANG Yao Lin,H510
倪福德,NI Fu Te,R081
廖文揚,LIAO Wen Yang,L0J9
邱浩鈞,CHIU Hao Chun,H108
羅力,Mike Loree,A0C0
謝榮豪,HSIEH Jung Hao,R568
林煜清,LIN Yu Ching,R414
黃子鵬,HUANG Tzu Peng,k428
王溢正,WANG I Cheng,R527
林國裕,LIN Kuo Yu,A0D2
洪聖欽,HUNG Sheng Cin,H377
江忠城,CHIANG Chung Chen,H345
彭識穎,PENG Shih Ying,H115
李振昌,LEE Chen Chang,R393
朱俊祥,CHU Chun Hsiang,A0C7
黃竣彥,HUANG Chun Yen,k460
江辰晏,CHIANG Chen Yen,L0L8
伍鐸,Bryan Woodall,E0L7
羅曼,Orlando Roman,W0E7
吳丞哲,WU Cheng Che,k431
鄭鈞仁,CHENG Chun Jen,k430
邱品睿,CHIU Pin Jui,R622
陳柏豪,CHEN Bo Hao,E0N4
劉軒荅,LIU Hsuan Ta,004637
蔡齊哲,TSAI Chi Che,E0N3
羅嘉仁,LO Chia Jen,R390
王梓安,WANG Tzu An,H507
王尉永,WANG Wei Yong,k504
林子崴,LIN Tzu Wei,L0N4
吳哲源,WU Che Yuan,H635
羅華韋,LO Hua Wei,H524
王玉譜,WANG Yu Pu,k432
蘇俊璋,SU Chun Chang,005558
吳俊偉,WU Chun Wei,004625
米吉亞,Miguel Mejia,E0J4
羅國華,LO Kuo Hua,H514
鄭佳彥,CHENG Chia Yen,H468
萊福力,Mitch Lively,004569
范玉禹,FAN Yu Yu,B0H8
施子謙,SHIH Tzu Chien,k505
林威志,LIN Wei Chih,H046
郭恆孝,KUO Hen Hsiao,L0N8
林樺慶,LIN Hua Ching,A0D7
力猛,Scott Richmond,B0J5
羅里奇,Josh Roenicke,004571
陳仕朋,CHEN Shih Peng,B0K0
王凱程,WANG Kai Cheng,E0N1
黃亦志,HUANG Yi Chih,B0J4
賴泊凱,LAI Bo Kai,R368
周磊,CHOU Lei,H467
歐書誠,OU Su Chen,004628
瑞安,Ryan Verdugo,004570
游宗儒,YU Tsung Ju,A0F4
陳明軒,CHEN Ming Hsuan,R707
楊志龍,YANG Jhih Long,H305
索沙,Henry Sosa,004770
威拉諾,Elih Villanueva,004621
張竣龍,JHANG Jyun Long,H041
翁瑋均,WENG Wei Chun,004646
葉家淇,YEH Chia Chi,A0F1
張凱倫,CHANG Kai Lun,E0L5
林政賢,LIN Cheng Hsien,B0J1
廖乙忠,LIAO Yi Chung,k436
黃恩賜,HUANG En Sih,k425
王則鈞,WANG Tse Chun,E0J7
江國豪,CHIANG Kuo Hao,005479
德保拉,José de Paula,006006
馬帝斯,Shairon Martis,K066
霸能,Lisalverto Bonilla,006011
